song_id,song_name,billboard,artist_updated,artist_id,popularity,explicit,song_type
5sNESr6pQfIhL3krM8CtZn,Numb / Encore,Jay-Z/Linkin Park,Linkin Park,6XyY86QOPPrYVGvF9ch6wz,72,TRUE,Collaboration
25fqrbEPDnqe9Bf8RLL7an,Take Me Home,Terror Squad,Terror Squad,2BvzbqWWwLN11XGBYgDZzx,43,TRUE,Collaboration
0HOtz2C7sq8gDja5Go0lXl,I'll Be Around,Daryl Hall John Oates,Daryl Hall,5jit9WjiAxxvdA0onOHBLd,34,FALSE,Collaboration
2Ozc0me9PV5vlt8cokwdvI,Lean Back,Terror Squad,Terror Squad,2BvzbqWWwLN11XGBYgDZzx,63,TRUE,Collaboration
1pwPIX3dkNyfcECNtm3L4q,Just For You,Lionel Richie,Lionel Richie,3gMaNLQm7D9MornNILzdSl,37,FALSE,Collaboration
3sncZtTFCzjtjRV8ddRYJi,Forthenight,Musiq,Musiq Soulchild,3UVRliakQfa1pMWIsNuiZ8,35,FALSE,Collaboration
1kgDlypHy9hCvCxeoCtd7X,"Can't Stop, Won't Stop",Young Gunz,Young Gunz,2sBv30RzdeMVPoBXbzjIo5,42,TRUE,Collaboration
0KObwPzCehVxdEFCW3jODM,It's Five O'Clock Somewhere,Alan Jackson & Jimmy Buffett,Alan Jackson,4mxWe1mtYIYfP040G38yvS,6,FALSE,Collaboration
24QsBaiNTFEO7JDn1FZcTR,Dance With My Father,Luther Vandross,Luther Vandross,19y5MFBH7gohEdGwKM7QsP,27,FALSE,Collaboration
4woTEX1wYOTGDqNXuavlRC,Superman,Eminem,Eminem,7dGJo4pcD2V6oG8kP0tJRR,69,TRUE,Collaboration
0uKrhHBDUQ4w5fv4qwOubP,Breathe,Telepopmusik,Télépopmusik,3aKCo8gLJfuPYtr88aWKjF,59,FALSE,Collaboration
3dVRdoxPN20V8w0KDxWtIC,From Tha Chuuuch To Da Palace,Snoop Dogg,Snoop Dogg,7hJcb9fa4alzcOq3EaNPoG,33,TRUE,Collaboration
7KpPH6122XEmqi13ftl9b6,Every River,Brooks & Dunn,The Tribute Co.,3Se8xpgCBmfXVnZqRSRRH9,0,FALSE,Collaboration
1NQT2M4q3GTBk1ZHXaN9s4,I'm Gonna Miss Her (Fishin' Song),Brad Paisley,Brad Davis,28yx4Aq8882xd1AivwMZLB,10,FALSE,Collaboration
19bGfiMh9luv9vxwiFNdDe,Awnaw,Nappy Roots,Nappy Roots,3tCxM1rTj2qUXsiQZxvt2I,5,TRUE,Collaboration
7qFEFcjmSAtODGtLYqraCq,It's Goin' Down,X-Ecutioners,X-Ecutioners,7eVbT3G1ggf2sz6s7ZV0Ap,42,FALSE,Collaboration
5avQSAKB1dOEeIQBqV4jgW,Until The End Of Time,2Pac,2Pac,1ZwdS5xdxEREPySFridCfh,54,TRUE,Collaboration
66xUO1V0sGnv9ktKnNKSoc,Southern Hospitality,Ludacris,Ludacris,3ipn9JLAPI5GUEo4y4jcoi,20,TRUE,Collaboration
3RnLEACttdwU6futFsaflI,Bow Wow (That's My Name),Lil Bow Wow,Bow Wow,7352aRY2mqSxBZwzUb6LmA,45,FALSE,Collaboration
6gfDXAX85YWdVwxpbz0npv,Original Prankster,The Offspring,The Offspring,5LfGQac0EIXyAN8aUwmNAQ,59,TRUE,Collaboration
7BgUcOjSOlKJXASLgJ6bx1,Bag Lady,Erykah Badu,Erykah Badu,7IfculRW2WXyzNQ8djX8WX,49,FALSE,Collaboration
68AhslXGVDKUUyHnDkORGF,The Chain of Love,Clay Walker,Clay Walker,4MPkNgar5uTd8Sqvrr7par,40,FALSE,Collaboration
